Designator,Mid X,Mid Y,Rotation,Layer
D1,94.0,-34.5,0.0,top
D10,197.5,-34.5,0.0,top
D11,209.0,-34.5,0.0,top
D12,220.5,-34.5,0.0,top
D13,232.0,-34.5,0.0,top
D14,243.5,-34.5,0.0,top
D15,96.0,-48.0,0.0,top
D16,107.5,-48.0,0.0,top
D17,119.0,-48.0,0.0,top
D18,130.5,-48.0,0.0,top
D19,142.0,-48.0,0.0,top
D2,105.5,-34.5,0.0,top
D20,153.5,-48.0,0.0,top
D21,165.0,-48.0,0.0,top
D22,176.5,-48.0,0.0,top
D23,188.0,-48.0,0.0,top
D24,199.5,-48.0,0.0,top
D25,211.0,-48.0,0.0,top
D26,222.5,-48.0,0.0,top
D27,234.0,-48.0,0.0,top
D28,98.0,-61.5,0.0,top
D29,114.0,-61.5,0.0,top
D3,117.0,-34.5,0.0,top
D30,125.5,-61.5,0.0,top
D31,137.0,-61.5,0.0,top
D32,148.5,-61.5,0.0,top
D33,160.0,-61.5,0.0,top
D34,171.5,-61.5,0.0,top
D35,183.0,-61.5,0.0,top
D36,194.5,-61.5,0.0,top
D37,206.0,-61.5,0.0,top
D38,217.5,-61.5,0.0,top
D39,229.0,-61.5,0.0,top
D4,128.5,-34.5,0.0,top
D40,246.0,-54.5,0.0,top
D41,95.0,-75.0,0.0,top
D42,106.5,-75.0,0.0,top
D43,118.0,-75.0,0.0,top
D44,129.5,-75.0,0.0,top
D45,141.0,-75.0,0.0,top
D46,152.5,-75.0,0.0,top
D47,164.0,-75.0,0.0,top
D48,175.5,-75.0,0.0,top
D49,187.0,-75.0,0.0,top
D5,140.0,-34.5,0.0,top
D50,198.5,-75.0,0.0,top
D51,210.0,-75.0,0.0,top
D52,221.5,-75.0,0.0,top
D53,233.0,-75.0,0.0,top
D54,244.5,-75.0,0.0,top
D55,93.0,-88.5,0.0,top
D56,104.5,-88.5,0.0,top
D57,116.0,-88.5,0.0,top
D58,127.5,-88.5,0.0,top
D59,147.0,-88.5,0.0,top
D6,151.5,-34.5,0.0,top
D60,192.0,-88.5,0.0,top
D61,211.5,-88.5,0.0,top
D62,223.0,-88.5,0.0,top
D63,234.5,-88.5,0.0,top
D64,246.0,-88.5,0.0,top
D7,163.0,-34.5,0.0,top
D8,174.5,-34.5,0.0,top
D9,186.0,-34.5,0.0,top
SW1,94.0,-41.0,0.0,top
SW10,197.5,-41.0,0.0,top
SW11,209.0,-41.0,0.0,top
SW12,220.5,-41.0,0.0,top
SW13,232.0,-41.0,0.0,top
SW14,243.5,-41.0,0.0,top
SW15,96.0,-54.5,0.0,top
SW16,107.5,-54.5,0.0,top
SW17,119.0,-54.5,0.0,top
SW18,130.5,-54.5,0.0,top
SW19,142.0,-54.5,0.0,top
SW2,105.5,-41.0,0.0,top
SW20,153.5,-54.5,0.0,top
SW21,165.0,-54.5,0.0,top
SW22,176.5,-54.5,0.0,top
SW23,188.0,-54.5,0.0,top
SW24,199.5,-54.5,0.0,top
SW25,211.0,-54.5,0.0,top
SW26,222.5,-54.5,0.0,top
SW27,234.0,-54.5,0.0,top
SW28,98.0,-68.005,0.0,top
SW29,114.0,-68.005,0.0,top
SW3,117.0,-41.0,0.0,top
SW30,125.5,-68.005,0.0,top
SW31,137.0,-68.005,0.0,top
SW32,148.5,-68.005,0.0,top
SW33,160.0,-68.005,0.0,top
SW34,171.5,-68.005,0.0,top
SW35,183.0,-68.005,0.0,top
SW36,194.5,-68.005,0.0,top
SW37,206.0,-68.005,0.0,top
SW38,217.5,-68.005,0.0,top
SW39,229.0,-68.005,0.0,top
SW4,128.5,-41.0,0.0,top
SW40,246.0,-61.0,0.0,top
SW41,95.0,-81.5,0.0,top
SW42,106.5,-81.5,0.0,top
SW43,118.0,-81.5,0.0,top
SW44,129.5,-81.5,0.0,top
SW45,141.0,-81.5,0.0,top
SW46,152.5,-81.5,0.0,top
SW47,164.0,-81.5,0.0,top
SW48,175.5,-81.5,0.0,top
SW49,187.0,-81.5,0.0,top
SW5,140.0,-41.0,0.0,top
SW50,198.5,-81.5,0.0,top
SW51,210.0,-81.5,0.0,top
SW52,221.5,-81.5,0.0,top
SW53,233.0,-81.5,0.0,top
SW54,244.5,-81.5,0.0,top
SW55,93.25,-95.158,0.0,top
SW56,104.75,-95.158,0.0,top
SW57,116.25,-95.158,0.0,top
SW58,127.75,-95.158,0.0,top
SW59,147.25,-95.158,0.0,top
SW6,151.5,-41.0,0.0,top
SW60,192.0,-95.158,0.0,top
SW61,211.5,-95.158,0.0,top
SW62,223.0,-95.158,0.0,top
SW63,234.5,-95.158,0.0,top
SW64,246.0,-95.158,0.0,top
SW7,163.0,-41.0,0.0,top
SW8,174.5,-41.0,0.0,top
SW9,186.0,-41.0,0.0,top
